Crop,Nitrogen (N),Phosphorus (P),Potassium (K),pH,Rainfall (mm),Temperature (°C),Humidity (%),Yield (t/ha)
Dhaan,45.98,52.27,36.8,6.8,2829.14,32.78,76.63,3.56
Dhaan,135.65,32.1,41.47,5.25,2679.03,27.13,70.59,3.36
Dhaan,81.31,48.84,75.07,4.74,1262.37,30.05,74.92,4.21
Dhaan,163.85,56.81,83.08,7.71,1703.6,23.78,73.99,3.79
Dhaan,107.86,83.89,70.24,6.05,2607.45,26.67,80.89,2.49
Dhaan,165.41,74.5,25.86,8.47,1523.67,26.15,74.38,2.91
Dhaan,131.96,38.66,101.63,8.17,2999.29,34.66,72.0,3.39
Dhaan,158.51,75.82,55.48,7.86,1300.64,34.95,74.39,3.62
Dhaan,167.96,21.97,90.06,8.29,2266.54,32.48,83.95,3.32
Dhaan,178.32,81.71,69.22,5.74,2214.49,29.32,73.76,3.35
Dhaan,40.1,84.25,40.15,5.02,1618.72,24.84,80.53,3.51
Dhaan,85.3,21.53,78.66,8.17,2490.49,33.94,86.89,3.6
Dhaan,171.87,47.69,30.1,5.71,2749.21,34.49,77.47,2.83
Dhaan,150.86,87.25,84.92,5.2,1445.61,24.05,88.97,4.03
Dhaan,122.45,32.27,50.68,7.25,2871.92,32.23,74.46,3.39
Dhaan,172.82,47.41,119.43,8.36,1429.23,31.47,88.98,3.97
Dhaan,119.18,85.57,34.06,7.48,2857.87,34.58,74.42,3.6
Dhaan,163.94,26.21,90.9,7.06,1628.39,34.77,73.36,3.79
Dhaan,75.93,27.56,20.13,6.04,1677.38,25.24,71.36,3.25
Dhaan,109.03,46.51,74.6,4.91,2518.65,34.6,87.69,2.81
Dhaan,50.32,79.2,49.49,5.77,2371.75,30.93,73.25,3.59
Dhaan,92.56,71.24,74.7,8.09,2912.99,22.96,73.4,3.89
Dhaan,171.94,31.55,108.98,5.13,2304.56,28.28,70.62,3.76
Dhaan,137.61,70.54,93.0,5.56,1382.26,24.67,73.8,3.45
Dhaan,61.5,45.26,62.76,5.68,1289.34,29.43,86.8,3.75
Dhaan,43.6,31.96,49.18,4.83,2391.64,29.8,73.99,3.67
Dhaan,52.76,58.09,38.49,8.04,1915.44,28.36,83.22,3.25
Dhaan,105.11,35.84,46.86,4.75,1864.92,27.8,75.27,3.51
Dhaan,175.9,61.28,75.36,7.86,1354.27,26.47,80.83,2.98
Dhaan,161.37,53.24,108.17,6.41,2673.13,27.44,80.71,4.16
Dhaan,152.06,67.43,82.03,4.98,2485.75,28.53,88.01,3.86
Dhaan,176.1,76.59,32.62,6.19,2562.94,24.25,89.69,3.87
Dhaan,76.1,83.76,111.42,4.77,2995.08,30.15,86.68,3.47
Dhaan,78.67,52.07,107.35,7.65,1898.58,27.17,76.52,3.2
Dhaan,122.31,73.09,113.96,8.2,1955.27,27.39,72.96,3.2
Dhaan,114.99,44.07,61.09,6.03,2212.83,23.31,75.72,3.02
Dhaan,125.21,68.56,23.88,8.06,1267.44,25.58,72.88,3.54
Dhaan,168.92,82.79,22.02,7.77,1796.69,25.09,84.91,3.41
Dhaan,161.65,29.41,117.42,6.27,2084.91,31.05,71.96,3.77
Dhaan,130.38,33.16,41.14,7.8,2686.48,25.5,78.34,3.47
Dhaan,62.26,41.78,70.68,5.04,2760.94,32.67,80.31,2.91
Dhaan,66.99,78.31,103.7,5.5,2732.33,33.43,70.58,2.75
Dhaan,110.72,64.48,32.39,4.62,2468.34,25.56,86.47,3.71
Dhaan,161.87,61.08,54.98,5.15,1870.44,29.72,73.55,3.96
Dhaan,62.81,60.06,116.49,7.93,2439.93,25.71,77.73,3.14
Dhaan,97.33,21.4,98.03,7.57,2365.28,30.81,75.38,4.27
Dhaan,75.33,76.36,50.55,8.37,2365.27,29.81,70.17,3.54
Dhaan,88.82,37.64,66.67,7.21,2356.93,27.51,77.53,3.66
Dhaan,158.06,46.2,84.73,6.94,1384.16,28.65,83.25,3.19
Dhaan,178.37,64.84,106.15,5.54,1737.26,23.41,71.28,3.32
Dhaan,165.96,76.38,100.24,6.9,1737.82,23.95,85.31,2.78
Dhaan,131.76,89.82,45.94,6.17,2388.95,30.85,84.43,3.43
Dhaan,141.72,35.57,73.46,7.64,2474.52,29.44,73.8,3.56
Dhaan,158.36,78.84,107.65,5.22,2831.75,30.73,80.15,3.65
Dhaan,65.63,67.58,53.56,4.86,1665.57,32.51,85.26,3.61
Dhaan,150.33,43.19,46.06,5.68,1839.51,31.67,76.14,3.73
Dhaan,49.97,82.26,70.05,7.97,2759.51,29.59,88.89,3.18
Dhaan,159.59,29.62,40.03,6.14,1887.0,25.88,71.08,2.81
Dhaan,149.05,54.13,83.1,5.21,2023.63,26.11,84.31,3.18
Dhaan,146.57,31.8,96.45,6.46,2342.1,22.06,75.47,3.51
Dhaan,175.15,46.83,23.77,5.3,2306.06,30.24,78.07,3.35
Dhaan,156.65,33.34,87.67,7.01,1871.58,22.18,76.44,3.5
Dhaan,122.41,31.69,102.38,5.69,1819.83,23.68,77.67,4.04
Dhaan,87.3,82.16,119.55,5.87,1723.49,31.46,81.93,3.77
Dhaan,96.47,35.99,92.72,5.02,1539.17,34.33,88.36,3.31
Dhaan,91.32,65.54,23.74,8.01,2521.34,29.67,73.38,3.48
Dhaan,131.5,21.38,88.97,6.17,1287.46,34.93,83.24,3.93
Dhaan,61.44,68.66,83.03,5.7,1884.46,29.11,79.49,3.23
Dhaan,156.29,27.34,91.88,4.97,1685.96,29.87,72.74,3.06
Dhaan,67.96,38.41,72.31,5.31,1405.22,23.38,73.97,3.42
Dhaan,170.64,43.14,20.27,7.19,1270.93,28.45,74.15,3.22
Dhaan,60.88,26.31,71.17,7.39,2832.38,32.86,83.38,3.72
Dhaan,105.0,26.99,37.47,4.66,1616.09,34.85,75.92,3.66
Dhaan,143.4,26.65,95.82,4.68,1723.02,32.42,76.25,3.81
Dhaan,127.05,81.49,29.3,7.76,1506.92,26.65,78.75,3.09
Dhaan,78.06,47.0,105.07,7.7,1529.16,27.21,89.25,3.13
Dhaan,171.95,31.16,61.6,6.86,1403.5,31.05,71.17,3.0
Dhaan,93.17,45.1,22.88,7.24,2644.08,30.82,73.63,4.0
Dhaan,97.58,23.22,46.16,5.76,1435.18,33.97,72.26,2.7
Dhaan,120.73,59.55,117.79,7.18,2468.22,30.81,85.35,3.28
Dhaan,74.8,44.2,87.63,6.04,2461.04,23.24,83.23,3.86
Dhaan,47.64,65.04,35.69,7.9,2710.26,29.26,89.76,3.92
Dhaan,175.82,23.52,42.27,7.07,1334.76,28.39,74.82,2.93
Dhaan,152.18,51.37,105.66,6.29,1925.9,25.05,79.18,3.8
Dhaan,118.0,20.01,29.09,6.92,2376.07,23.33,78.25,3.78
Dhaan,68.96,67.0,115.04,5.95,2314.32,25.96,80.17,3.73
Dhaan,106.24,66.0,91.59,4.96,2018.03,29.28,82.4,3.58
Dhaan,156.18,87.51,49.2,6.59,2566.78,24.88,76.83,3.47
Dhaan,141.02,27.49,81.09,5.25,1495.48,23.83,84.34,3.4
Dhaan,149.4,70.18,30.78,6.16,2874.39,27.11,79.14,4.1
Dhaan,132.18,86.93,33.46,6.5,2259.86,32.04,79.01,3.2
Dhaan,157.43,53.81,70.83,8.18,2154.66,22.63,88.71,3.7
Dhaan,124.08,81.79,70.41,6.04,2514.89,23.67,77.75,3.91
Dhaan,78.3,87.45,117.05,6.31,2963.1,33.91,85.25,3.74
Dhaan,138.21,80.25,91.19,8.24,2460.03,31.73,75.98,3.77
Dhaan,80.68,44.17,87.24,8.43,2338.65,24.61,82.48,2.98
Dhaan,56.16,44.66,68.04,6.78,2107.01,31.03,76.45,2.79
Dhaan,157.79,40.01,104.73,7.73,2400.88,27.43,84.96,3.42
Dhaan,145.03,31.27,48.66,5.5,1461.59,30.71,74.0,3.49
Dhaan,145.5,22.26,101.4,4.91,2710.89,30.98,75.9,3.89
Dhaan,73.26,74.9,99.88,5.65,2756.71,31.65,81.23,3.08
Dhaan,173.94,88.31,51.27,6.71,2396.09,34.04,77.75,3.77
Dhaan,156.2,83.8,90.46,7.09,2317.01,32.15,87.4,3.52
Dhaan,148.66,87.5,49.42,5.21,2559.19,29.11,82.07,3.41
Dhaan,99.99,58.96,33.01,6.84,1512.83,28.68,77.54,3.29
Dhaan,61.67,30.76,52.26,4.7,1659.03,26.3,84.19,3.94
Dhaan,90.13,74.88,51.79,5.38,2391.4,28.38,81.45,3.3
Dhaan,98.23,57.59,29.19,5.38,1530.96,22.89,80.1,3.57
Dhaan,114.27,89.76,102.37,8.42,1849.44,24.84,85.05,3.81
Dhaan,166.63,62.96,82.11,8.34,1215.85,30.7,78.91,3.37
Dhaan,115.63,39.8,111.13,7.79,2848.68,34.28,77.72,3.22
Dhaan,46.14,82.88,39.25,6.56,1874.92,32.44,78.91,3.7
Dhaan,49.17,66.92,97.36,7.96,2921.3,28.99,70.15,3.43
Dhaan,138.38,88.34,97.52,7.09,1963.58,23.35,80.76,4.04
Dhaan,52.25,23.8,99.42,6.73,1476.76,27.97,76.63,3.29
Dhaan,94.32,64.12,63.3,4.57,2234.93,24.96,75.17,3.3
Dhaan,121.99,69.06,27.26,8.21,2354.56,30.04,85.12,3.12
Dhaan,52.11,73.57,63.77,6.08,1391.04,32.23,76.03,3.29
Dhaan,151.65,58.2,116.01,5.08,2160.24,23.77,77.82,3.16
Dhaan,142.11,46.12,114.95,6.71,2419.12,33.88,85.9,3.33
Dhaan,172.58,41.33,94.83,8.11,1209.05,29.76,80.74,3.44
Dhaan,111.76,31.27,42.08,7.84,1818.93,27.36,82.92,3.58
Dhaan,170.53,89.6,66.13,6.7,2639.39,33.08,87.03,3.71
Dhaan,141.58,54.1,53.09,5.01,1723.17,22.88,71.96,3.41
Dhaan,103.09,63.14,50.57,6.84,2315.13,33.7,76.36,3.37
Dhaan,99.96,20.34,44.62,5.39,2217.99,26.74,76.33,3.48
Dhaan,162.9,52.4,55.87,5.72,2712.2,23.75,84.66,3.13
Dhaan,157.85,80.11,34.0,6.65,2193.01,24.29,82.13,3.44
Dhaan,111.0,22.18,78.19,6.12,1337.63,22.98,70.37,4.23
Dhaan,116.09,89.91,67.21,7.6,2262.07,33.78,81.03,3.33
Dhaan,105.06,55.73,59.68,6.51,2589.86,31.53,75.82,3.69
Dhaan,125.97,31.61,71.41,6.28,2392.82,33.02,86.13,3.87
Dhaan,107.69,45.12,41.88,6.45,2386.94,34.58,84.72,4.27
Dhaan,68.95,83.54,56.13,6.38,1313.15,26.8,70.86,3.4
Dhaan,112.99,78.08,103.49,5.55,2965.06,26.21,84.07,3.53
Dhaan,91.14,65.73,103.55,6.57,2179.83,24.26,83.07,2.96
Dhaan,108.16,53.75,80.42,6.51,2129.47,26.59,87.35,4.04
Dhaan,130.09,34.81,38.69,5.95,1450.14,24.15,71.54,3.46
Dhaan,107.41,53.52,41.07,5.14,1614.62,32.55,84.41,3.33
Dhaan,120.29,31.28,82.95,4.66,2700.06,22.29,70.86,3.39
Dhaan,123.91,59.45,21.86,7.38,1664.87,24.34,89.16,3.45
Dhaan,102.89,89.49,106.73,5.18,2391.14,25.68,71.71,3.73
Dhaan,132.35,38.52,92.42,5.87,2630.31,32.67,73.64,3.08
Dhaan,93.96,27.6,40.23,7.94,2016.25,29.68,74.6,3.13
Dhaan,126.06,22.73,98.39,6.51,1469.21,23.25,79.52,3.49
Gehu,124.49,77.93,109.7,7.6,494.01,24.75,53.26,3.71
Gehu,72.13,76.16,98.96,6.02,696.3,18.61,63.25,3.61
Gehu,137.54,26.84,33.39,6.41,871.24,28.38,69.04,4.09
Gehu,66.46,69.64,98.94,6.81,626.61,30.27,60.22,4.79
Gehu,136.29,42.11,56.23,5.12,494.26,18.1,66.36,3.82
Gehu,78.58,67.64,95.5,6.15,1083.98,23.93,59.14,3.75
Gehu,117.69,37.76,50.67,5.88,1027.03,24.75,59.26,3.82
Gehu,102.52,68.95,36.18,5.36,1084.0,27.23,68.7,3.37
Gehu,137.59,69.48,36.07,8.36,720.45,22.74,63.76,4.17
Gehu,48.97,35.52,28.0,4.65,516.26,30.96,60.88,4.01
Gehu,112.94,69.81,79.75,8.28,707.46,31.78,65.35,4.24
Gehu,152.55,40.02,23.36,6.9,751.18,20.82,66.42,3.48
Gehu,45.05,36.75,20.03,5.13,812.65,21.24,54.24,4.7
Gehu,112.48,71.58,26.86,4.86,682.5,23.53,64.65,3.99
Gehu,88.73,87.43,47.65,6.93,627.6,29.62,72.88,4.31
Gehu,54.91,25.07,49.43,8.29,859.93,21.66,60.18,4.87
Gehu,153.84,60.24,89.42,8.36,1042.35,31.39,71.9,3.37
Gehu,104.5,61.08,22.74,4.97,1005.98,31.46,61.47,3.73
Gehu,134.77,36.1,51.57,8.32,454.04,26.87,74.85,3.94
Gehu,134.32,77.48,27.6,8.23,1065.74,21.48,52.33,3.99
Gehu,77.67,86.3,88.31,8.14,781.24,22.95,72.36,3.73
Gehu,68.39,37.48,81.86,5.12,988.34,30.22,55.17,4.0
Gehu,132.88,62.97,96.42,6.67,485.35,30.88,66.9,4.44
Gehu,165.58,80.81,69.08,8.44,896.53,24.89,74.63,4.12
Gehu,120.73,23.79,99.93,6.41,1132.81,21.92,55.55,3.54
Gehu,176.71,68.88,66.01,7.26,714.97,27.61,54.37,3.88
Gehu,85.56,62.89,45.97,6.69,409.46,20.95,64.53,4.04
Gehu,69.47,69.05,57.23,7.92,890.47,23.12,62.47,4.45
Gehu,120.62,36.0,29.99,5.58,623.7,20.52,53.28,4.04
Gehu,60.94,76.4,37.66,6.5,704.71,20.04,73.98,4.42
Gehu,140.88,74.97,50.0,6.75,1196.45,29.89,62.93,3.63
Gehu,106.72,64.09,64.99,5.84,952.43,18.84,70.35,3.83
Gehu,76.08,21.39,32.12,7.97,688.77,25.84,73.3,4.26
Gehu,149.24,44.86,87.32,6.45,860.72,27.09,54.36,3.94
Gehu,80.11,64.22,34.48,5.17,989.22,30.45,59.53,4.13
Gehu,49.99,31.34,42.82,5.77,905.02,26.0,71.22,3.66
Gehu,77.97,51.14,106.28,5.95,633.09,21.74,66.12,3.11
Gehu,141.89,66.34,114.04,7.3,731.19,20.57,50.58,3.46
Gehu,48.93,81.51,74.84,4.61,464.05,20.34,52.58,3.46
Gehu,131.68,81.98,50.94,5.49,466.6,21.67,53.88,4.41
Gehu,157.39,22.0,86.35,7.94,627.34,26.77,53.28,3.79
Gehu,102.28,87.87,89.76,5.21,1179.99,25.57,56.81,4.41
Gehu,118.96,56.64,83.95,5.74,878.07,26.83,65.9,3.71
Gehu,76.37,41.25,20.01,7.76,1043.77,24.19,59.14,4.41
Gehu,41.16,84.55,114.7,6.41,1078.36,22.81,61.73,4.42
Gehu,92.31,48.82,76.06,6.08,634.34,21.24,50.18,4.02
Gehu,92.97,38.41,62.22,5.46,530.62,28.32,59.74,4.08
Gehu,144.01,76.62,61.29,7.91,1046.06,27.58,57.12,3.13
Gehu,126.48,39.05,82.28,5.25,545.93,22.05,65.92,4.13
Gehu,77.69,70.06,92.71,5.43,827.98,20.6,52.56,4.02
Gehu,83.62,75.96,119.8,6.35,520.55,24.91,58.55,4.09
Gehu,148.59,25.0,67.01,5.27,1074.84,31.32,51.4,3.65
Gehu,57.07,73.77,44.9,7.58,1073.23,29.44,70.71,3.39
Gehu,112.96,88.75,67.28,7.23,426.81,24.45,69.27,4.23
Gehu,45.91,85.62,72.09,5.51,649.69,22.52,65.73,3.83
Gehu,55.81,64.3,52.45,5.17,1110.02,30.09,55.44,3.8
Gehu,41.25,22.94,98.35,6.4,620.88,19.68,69.73,3.68
Gehu,126.61,85.16,119.7,7.0,471.58,20.21,52.29,3.78
Gehu,150.81,28.81,43.27,8.43,447.82,27.02,67.53,4.16
Gehu,136.49,45.07,33.47,8.09,1044.42,24.14,54.82,3.35
Gehu,137.59,33.28,38.66,5.89,788.24,24.13,57.37,3.96
Gehu,49.64,30.85,49.57,5.55,1065.08,30.8,63.86,3.68
Gehu,93.07,32.99,21.87,7.93,693.69,18.01,65.95,4.05
Gehu,94.25,56.68,69.75,6.71,976.8,27.22,63.47,3.71
Gehu,55.46,56.62,26.67,7.84,890.43,22.52,66.02,4.56
Gehu,119.94,78.54,85.79,6.6,561.66,24.8,52.47,4.59
Gehu,124.83,24.96,113.02,5.33,961.05,21.58,59.16,3.16
Gehu,118.12,85.68,61.6,5.98,463.97,29.21,51.52,4.05
Gehu,45.69,24.93,50.39,8.28,966.75,29.53,56.65,4.18
Gehu,113.67,37.41,82.53,5.22,980.14,25.44,54.74,3.96
Gehu,129.41,45.06,65.87,7.16,999.36,23.81,52.64,4.18
Gehu,62.14,89.89,64.3,5.91,544.32,23.62,58.44,3.84
Gehu,92.04,73.49,63.06,7.4,652.12,31.88,58.12,3.6
Gehu,75.57,87.32,64.75,6.09,571.14,28.72,73.15,3.68
Gehu,112.47,89.54,50.18,5.7,981.05,31.76,64.89,4.14
Gehu,78.63,58.76,75.63,8.2,417.36,29.51,67.24,4.77
Gehu,59.38,45.7,78.22,5.43,523.77,18.53,58.89,4.07
Gehu,141.3,75.5,37.29,7.8,719.84,30.85,68.36,3.84
Gehu,123.33,41.03,93.08,6.81,951.68,26.07,72.69,4.12
Gehu,98.31,80.75,106.98,5.41,1016.72,22.87,70.43,4.06
Gehu,148.84,46.77,50.48,4.66,922.22,26.43,50.29,3.78
Gehu,142.42,47.5,64.56,6.88,801.92,21.09,51.26,3.94
Gehu,95.21,29.25,28.25,6.79,803.78,21.11,57.24,4.38
Gehu,58.25,29.44,75.93,6.45,468.06,25.03,69.35,4.12
Gehu,142.99,37.24,27.16,7.61,921.8,20.75,65.4,3.6
Gehu,88.76,42.45,79.39,4.6,471.68,27.4,60.59,4.81
Gehu,178.62,50.95,34.58,4.68,643.86,31.83,65.41,4.11
Gehu,55.73,23.82,114.89,8.21,699.06,28.61,71.32,3.76
Gehu,137.13,27.79,65.01,4.59,1095.0,29.48,50.34,4.13
Gehu,107.62,71.09,34.13,7.3,563.04,25.33,56.47,4.48
Gehu,46.09,31.92,48.4,7.66,414.71,26.16,66.59,3.9
Gehu,77.98,79.65,86.01,7.96,923.81,18.12,59.72,3.91
Gehu,72.36,46.65,117.66,4.9,415.26,30.14,66.24,3.68
Gehu,104.12,84.84,22.15,5.49,825.25,20.61,62.52,4.74
Gehu,61.98,44.27,55.19,7.0,823.53,22.67,59.83,4.1
Gehu,163.01,82.33,101.49,4.62,801.0,29.37,65.64,5.1
Gehu,165.6,65.99,28.78,6.03,843.95,21.92,53.79,4.53
Gehu,61.38,87.94,110.97,5.82,900.42,21.18,56.01,3.87
Gehu,115.79,76.01,106.26,5.74,833.79,20.89,53.46,3.86
Gehu,60.32,85.31,111.71,5.77,508.2,31.94,74.39,3.53
Gehu,84.46,81.57,92.71,7.56,845.87,31.28,52.96,4.3
Gehu,165.18,85.33,47.38,7.62,729.0,24.2,73.34,3.72
Gehu,125.68,38.68,76.7,5.42,485.42,20.59,69.06,4.07
Gehu,110.33,62.33,91.2,6.0,687.41,27.63,61.92,4.61
Gehu,67.06,22.26,96.45,4.56,1081.7,24.88,53.44,3.95
Gehu,49.26,84.9,118.56,7.97,993.89,31.84,68.94,4.41
Gehu,74.55,48.34,24.18,7.44,791.95,22.55,61.44,3.75
Gehu,113.53,81.3,98.69,6.58,889.2,28.39,64.85,4.24
Gehu,179.42,56.31,59.56,7.44,761.29,29.58,51.06,3.55
Gehu,95.73,41.32,102.76,6.35,904.52,18.69,57.28,3.83
Gehu,112.38,29.96,102.99,6.31,737.97,26.58,51.36,3.97
Gehu,58.94,48.95,65.09,5.22,1022.98,31.13,67.4,3.81
Gehu,103.66,37.51,89.17,8.13,872.25,27.98,55.05,4.18
Gehu,90.81,56.67,58.41,7.66,498.84,19.6,61.23,3.39
Gehu,93.28,73.78,111.23,6.76,809.33,31.3,59.47,3.88
Gehu,98.74,41.67,96.86,6.29,1095.05,20.5,67.8,3.81
Gehu,68.4,63.58,45.31,6.33,901.16,19.65,53.29,4.31
Gehu,122.44,53.3,61.02,4.82,404.6,30.36,55.95,3.6
Gehu,126.77,59.03,102.53,4.7,880.08,21.43,63.68,4.35
Gehu,157.32,40.89,112.04,4.7,429.38,29.95,66.67,4.47
Gehu,125.55,68.41,79.5,7.65,733.57,20.5,66.8,4.19
Gehu,81.9,45.8,57.89,4.77,863.17,31.04,52.33,4.4
Gehu,58.84,68.62,47.44,6.61,741.86,25.71,57.32,3.39
Gehu,128.06,89.1,68.37,7.25,889.64,19.53,68.24,3.9
Gehu,125.24,42.15,72.54,8.48,1147.11,31.81,57.18,3.87
Gehu,108.95,32.59,80.94,7.33,850.11,25.28,65.8,4.17
Gehu,127.56,28.25,104.81,7.7,1183.41,18.02,50.6,4.41
Gehu,41.58,34.08,48.16,7.66,667.03,25.85,65.94,4.0
Gehu,40.86,68.01,54.14,7.4,646.22,25.09,58.1,3.93
Gehu,134.15,84.13,99.73,7.08,540.5,22.63,58.45,3.94
Gehu,115.18,43.46,98.4,6.16,785.2,26.78,72.3,3.96
Gehu,115.02,34.58,88.55,7.7,639.47,28.15,57.89,3.24
Gehu,79.26,22.18,118.36,7.01,1110.42,22.95,74.24,4.29
Gehu,145.22,69.37,51.45,4.63,711.65,26.33,71.61,3.56
Gehu,103.27,86.55,41.61,5.71,731.1,24.96,55.94,4.53
Gehu,43.49,53.79,70.01,5.26,1022.23,30.79,61.09,4.45
Gehu,148.57,30.03,107.18,7.79,1138.91,28.25,63.09,4.56
Gehu,139.91,56.56,20.41,8.23,506.17,28.14,61.48,3.77
Gehu,105.36,23.23,72.06,7.14,949.64,26.32,52.18,3.8
Gehu,66.96,39.37,51.91,6.26,649.71,30.49,58.02,4.49
Gehu,42.14,63.61,71.41,5.33,494.12,20.09,56.84,3.79
Gehu,74.28,24.99,81.33,5.85,513.25,27.86,57.08,4.28
Gehu,134.57,27.41,25.38,6.21,754.92,19.82,61.77,4.23
Gehu,126.28,41.87,101.74,7.35,874.2,29.71,67.48,4.49
Gehu,145.8,52.6,33.18,7.75,936.7,25.47,74.34,4.39
Gehu,105.16,36.22,42.38,7.94,764.47,27.58,67.76,3.78
Gehu,137.95,66.56,98.88,8.03,893.55,30.78,59.8,3.91
Gehu,63.91,73.76,80.44,5.01,780.27,22.92,61.53,4.03
Gehu,85.62,65.46,99.24,6.63,482.35,29.45,69.92,3.66
Gehu,93.73,43.85,101.39,6.86,896.7,25.67,74.35,4.24
Gehu,116.23,36.53,86.26,4.81,1027.45,24.09,69.68,4.47
Gehu,117.71,77.54,37.62,8.32,789.3,26.29,61.57,3.78
Gehu,147.99,46.52,69.43,7.14,455.69,19.52,70.35,4.62
Gehu,40.03,30.27,34.92,6.63,1109.81,30.65,65.9,4.4
Gehu,135.41,42.16,77.03,8.15,711.99,26.09,54.89,3.68
Gehu,52.5,20.57,118.64,6.12,747.78,31.76,58.61,4.9
Gehu,116.84,23.72,90.34,7.78,502.04,22.12,59.23,3.5
Gehu,95.2,42.27,58.28,6.03,1092.54,21.29,67.56,4.61
Gehu,66.35,46.92,112.45,7.86,836.1,27.27,61.87,4.78
Gehu,42.2,70.49,68.67,6.25,936.05,19.88,51.79,5.14
Gehu,98.22,51.92,98.89,6.92,1192.17,19.19,66.06,3.78
Gehu,89.74,33.01,80.46,6.81,807.53,25.73,61.25,4.11
Gehu,97.52,58.23,56.7,8.41,1077.44,21.31,62.54,3.43
Gehu,59.89,71.19,118.36,8.43,490.53,24.74,67.26,3.74
Gehu,164.59,26.19,67.25,7.47,1023.1,24.51,51.96,4.16
Gehu,47.39,44.05,97.85,6.38,906.95,29.17,57.81,3.96
Gehu,98.94,87.24,99.82,5.66,810.13,24.57,68.35,4.88
Gehu,48.6,53.12,36.91,4.71,999.54,28.18,64.09,4.2
Gehu,80.15,25.78,70.56,7.91,1192.29,29.32,65.61,3.96
Gehu,55.62,32.22,79.18,5.1,624.78,30.01,50.36,4.21
Gehu,138.11,53.94,99.94,7.95,757.32,29.31,56.53,3.91
Gehu,109.43,89.55,97.04,5.45,516.06,31.08,53.85,4.14
Gehu,142.81,44.16,84.23,7.52,752.15,26.93,55.27,4.18
Gehu,145.34,57.28,57.98,7.32,719.0,22.22,68.65,4.16
Gehu,41.66,84.91,64.88,7.21,779.67,20.03,71.76,4.59
Gehu,173.87,50.23,111.8,7.93,432.81,30.85,65.94,3.86
Gehu,131.61,47.38,97.32,7.5,667.97,21.74,52.46,3.95
Gehu,65.19,58.33,87.28,7.83,555.94,22.72,67.26,3.47
Gehu,102.43,35.36,48.33,5.27,409.57,19.37,52.6,4.17
Gehu,173.07,64.67,90.81,4.98,1150.8,27.19,70.89,4.03
Gehu,165.99,59.62,116.72,8.08,1085.15,19.82,66.41,3.9
Gehu,169.18,39.35,62.7,8.11,773.56,31.11,65.97,3.71
Gehu,50.36,74.4,58.28,5.83,1015.9,22.53,54.05,4.93
Gehu,170.0,62.72,37.84,6.47,611.73,24.17,62.29,4.37
Gehu,130.07,83.88,91.54,4.91,515.1,28.76,55.46,4.47
Gehu,60.84,64.82,113.29,7.16,600.48,24.24,72.41,4.23
Gehu,120.45,56.08,113.99,6.46,613.15,27.8,72.62,3.29
Gehu,40.46,86.79,101.8,6.43,1024.75,29.0,63.5,4.3
Gehu,135.46,48.04,83.23,8.34,853.8,31.09,58.97,4.42
Gehu,147.31,65.35,37.66,4.66,1168.74,19.13,61.49,4.27
Gehu,165.5,64.14,55.93,4.84,707.33,20.67,67.4,3.56
Gehu,123.01,54.25,26.3,6.66,511.95,20.7,67.99,3.52
Gehu,102.9,89.71,23.7,4.72,646.18,25.48,70.86,4.03
Gehu,104.17,67.47,107.43,5.1,494.55,29.3,66.68,3.88
Gehu,59.82,65.77,67.12,8.17,863.48,30.95,50.92,4.6
Gehu,83.03,75.56,65.62,5.18,504.43,20.41,51.25,4.18
Gehu,109.6,75.94,42.06,7.72,872.83,29.45,52.66,3.35
Gehu,176.62,60.32,33.73,7.85,1185.75,27.5,58.11,4.33
Gehu,86.97,28.45,34.12,6.16,1034.48,28.7,64.83,3.83
Gehu,54.0,79.32,81.24,7.61,750.93,30.96,51.02,3.52
Gehu,65.12,26.24,85.18,8.05,412.5,24.82,50.16,3.37
Gehu,129.58,56.62,61.2,8.25,1018.05,27.69,55.15,4.36
Gehu,109.98,86.52,82.72,7.63,888.43,18.53,54.5,3.98
Gehu,53.4,45.33,96.11,6.66,588.51,19.65,63.25,4.03
Gehu,78.7,33.56,99.66,7.24,575.42,28.78,66.48,4.44
Gehu,130.28,39.95,63.47,5.84,541.06,27.38,51.08,3.91
Gehu,143.66,84.74,37.59,7.64,1044.12,28.62,51.08,3.8
Gehu,85.64,33.91,87.69,5.8,1116.06,28.1,64.82,4.02
Gehu,143.28,80.89,57.55,5.38,1023.18,22.57,52.45,3.55
Gehu,103.7,47.11,33.64,7.38,1112.39,20.03,73.2,4.08
Gehu,57.81,68.45,25.97,5.05,905.62,31.66,55.06,4.26
Gehu,124.51,75.27,83.8,6.95,536.96,22.81,72.16,3.64
Gehu,52.11,79.99,68.92,8.48,535.95,31.58,71.38,3.36
Gehu,74.53,42.91,77.95,8.07,623.34,28.22,68.4,3.59
Gehu,40.71,88.61,24.01,6.38,873.42,20.09,64.34,4.01
Gehu,154.98,51.67,44.05,6.73,824.9,24.71,69.95,3.9
Gehu,58.58,40.71,84.76,4.86,409.94,28.25,73.75,3.66
Gehu,43.42,51.84,97.18,8.0,962.64,30.01,68.68,4.04
Gehu,105.0,64.34,106.04,4.78,724.29,29.06,59.26,4.28
Gehu,172.45,57.97,99.45,7.65,426.17,23.96,56.74,3.78
Gehu,47.67,86.17,87.47,8.05,464.77,30.33,68.39,4.29
Gehu,118.23,24.69,90.93,5.32,895.31,23.12,54.38,4.25
